demand_id,Destination_State,Destination_City,opportunity_name,Origin_Lat,Origin_Lon,Destination_Lat,Destination_Lon,distance_km,distance_mean,distance_variance
292740805210266,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.944757827887386,-38.4920524757833,-12.94953,-38.49624,0.6965531892027776,0.5909253277023981,0.06200263972809542
292740805210267,BA,SALVADOR,USF NOSSA SENHORA DE GUADALUPE ALTO DO PERU,-12.942801044539527,-38.48813877325963,-12.93824,-38.48532,0.5900539760633833,0.558141493518019,0.056362846476132995
292740805210268,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.943513627201051,-38.492637321476444,-12.94953,-38.49624,0.7719001877554381,0.5909253277023981,0.06200263972809542
292740805210269,BA,SALVADOR,USF FIAIS,-12.941938057416102,-38.491303211658426,-12.93559,-38.49047,0.7080813812422391,0.5021230787673837,0.06217369899731178
292740805210270,BA,SALVADOR,USF NOSSA SENHORA DE GUADALUPE ALTO DO PERU,-12.942112383116953,-38.48974246753482,-12.93824,-38.48532,0.6432865335510792,0.558141493518019,0.056362846476132995
292740805210271,BA,SALVADOR,USF FIAIS,-12.940763843796594,-38.490086857771225,-12.93559,-38.49047,0.5738900810326356,0.5021230787673837,0.06217369899731178
292740805210272,BA,SALVADOR,UBS SAO JUDAS TADEU,-12.956672714759334,-38.48152348666073,-12.95961,-38.48388,0.4134859127392361,0.5265494861670573,0.060954064931155655
292740805210273,BA,SALVADOR,USF JAQUEIRA DO CARNEIRO,-12.951880795784206,-38.479023975362175,-12.94926,-38.47418,0.6002676320184301,0.5449979024348257,0.05609014840352645
292740805210274,BA,SALVADOR,UBS DR PERICLES ESTEVES CARDOSO BARBALHO,-12.961108391046558,-38.49845278686067,-12.9678033,-38.5009592,0.7890060454456924,0.472966085588763,0.06410596898284383
292740805210275,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.949299438831982,-38.49057769790407,-12.94953,-38.49624,0.6149268725418608,0.5909253277023981,0.06200263972809542
292740805210276,BA,SALVADOR,UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY,-12.960458258518344,-38.493831085700045,-12.95926,-38.48684,0.770044186896129,0.5702769397879689,0.05560000505947246
292740805210277,BA,SALVADOR,UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY,-12.960912649144834,-38.493927464095314,-12.95926,-38.48684,0.7904402308801693,0.5702769397879689,0.05560000505947246
