MUN,LATITUDE,LONGITUDE
Cruzeiro do Sul,-7.65795,-72.64644
Santa Rosa do Purus,-9.43335,-70.49353
Marechal Thaumaturgo,-8.94135,-72.79254
Rodrigues Alves,-7.742,-72.647
Assis Brasil,-10.94286,-69.56346
Rio Branco,-9.97337,-67.80835
Cruzeiro do Sul,-7.63648,-72.66168
Rio Branco,-9.9757,-67.80183
Rio Branco,-9.97736,-67.84857
Tarauaca,-8.13562,-70.76497
Porto Walter,-8.26935,-72.74454
Cruzeiro do Sul,-7.631,-72.67
Rio Branco,-9.975,-67.81
Cruzeiro do Sul,-7.631,-72.67
Cruzeiro do Sul,-7.631,-72.67
Rio Branco,-9.97337,-67.80835
Cruzeiro do Sul,-7.63069,-72.67253
Rio Branco,-9.95549,-67.86547
Cruzeiro do Sul,-8.02617,-72.80427
Porto Walter,-8.53161,-72.80427
Rio Branco,-9.9757,-67.80183
Rio Branco,-9.9757,-67.80183
Rio Branco,-9.97736,-67.84857
Manaus,-2.98436,-60.01249
Tapaua,-5.61965,-63.18623
Manaus,-3.04,-59.93288
Maues,-3.39138,-57.71265
Caapiranga,-3.41679,-61.36496
Manicore,-5.81213,-61.30015
Autazes,-3.58349,-59.1326
Nova Olinda do Norte,-3.88455,-59.08832
Itacoatiara,-3.1488,-58.43874
Presidente Figueiredo,-2.05773,-60.02665
Manaus,-3.07514,-60.01614
Barreirinha,-2.79531,-57.27771
Eirunepe,-6.66886,-69.86136
Manaus,-3.08829,-59.94496
Sao Gabriel da Cachoeira,-0.13646,-67.08364
Parintins,-2.62705,-56.73629
Benjamin Constant,-4.38366,-70.03031
Manaus,-3.05195,-60.03273
Sao Sebastiao do Uatuma,-2.57015,-57.87034
Manacapuru,-3.29827,-60.62058
Manaus,-2.98556,-60.05129
Maues,-3.59906,-57.94564
Tefe,-3.34997,-64.71457
Urucurituba,-3.12911,-58.15696
Careiro,-3.81498,-60.36096
Careiro,-3.83991,-60.41744
Envira,-7.43981,-70.03041
Silves,-2.84784,-58.34722
Maraa,-1.85773,-65.58099
Novo Airao,-2.63121,-60.948
Nhamunda,-2.18823,-56.71211
Santo Antonio do Ica,-3.10471,-67.94479
Tapaua,-5.76305,-64.39331
Manaus,-3.0253,-60.01324
Iranduba,-3.28105,-60.19338
Jutai,-2.7519,-66.77573
Manacapuru,-3.30349,-60.61899
Manaus,-3.02375,-60.00082
Parintins,-2.6311,-56.72698
Iranduba,-3.28105,-60.19338
Sao Paulo de Olivenca,-3.46396,-68.95594
Manaus,-3.1246,-59.94045
Barreirinha,-3.07418,-57.16628
Eirunepe,-6.66697,-69.86514
Rio Preto da Eva,-2.6933,-59.70473
Tefe,-3.34666,-64.70807
Rio Preto da Eva,-2.67739,-59.52518
Silves,-2.80209,-58.43836
Manaus,-3.11565,-59.98766
Boca do Acre,-8.75867,-67.38745
Borba,-4.39622,-59.59462
Manaus,-3.10779,-59.95947
Itacoatiara,-3.1397,-58.42906
Rio Preto da Eva,-2.6933,-59.70473
Coari,-4.08929,-63.14396
Maues,-3.43117,-57.66088
Codajas,-3.83857,-62.06678
Manacapuru,-3.29486,-60.624
Manaus,-3.11315,-59.9835
Presidente Figueiredo,-1.54888,-60.17486
Manaus,-3.04157,-59.97972
Labrea,-7.2705,-64.80094
Manaus,-3.11381,-60.00569
Parintins,-2.62531,-56.72857
Itacoatiara,-3.13835,-58.43476
Manaus,-3.05904,-60.03238
Tefe,-3.34281,-64.69578
Manicore,-5.8132,-61.29924
Manaus,-3.02605,-59.98256
Careiro,-3.81399,-60.35332
Coari,-4.08764,-63.13497
Uarini,-2.98459,-65.15748
Iranduba,-3.28105,-60.19338
Itapiranga,-2.74184,-58.03454
Manaus,-3.13861,-60.0049
Nova Olinda do Norte,-3.89537,-59.0902
Silves,-2.83639,-58.21449
Jurua,-3.47478,-66.06302
Autazes,-3.82995,-59.1742
Parintins,-2.63456,-56.73906
Manaus,-3.08819,-59.88942
Maues,-3.79483,-57.96075
Rio Preto da Eva,-2.6933,-59.70473
Iranduba,-3.28105,-60.19338
Caapiranga,-3.32834,-61.20949
Rio Preto da Eva,-2.6278,-59.74122
Apui,-7.20561,-59.8911
Manaus,-3.07578,-59.93766
Sao Gabriel da Cachoeira,-0.13602,-67.07814
Labrea,-7.26888,-64.79139
Tonantins,-2.873,-67.802
Manaus,-3.09051,-60.06147
Manicore,-5.81213,-61.30015
Manaus,-3.13795,-59.98475
Fonte Boa,-2.5196,-66.09087
Manaus,-3.02694,-60.17967
Guajara,-7.53834,-72.59127
Benjamin Constant,-4.37601,-70.03097
Iranduba,-3.28105,-60.19338
Sao Paulo de Olivenca,-3.45979,-68.92616
Humaita,-7.50723,-63.0346
Tefe,-3.45811,-64.76382
Humaita,-7.51974,-63.02401
Presidente Figueiredo,-2.00711,-59.45592
Manaus,-3.06258,-60.03967
Coari,-4.1307,-63.13461
Iranduba,-3.28105,-60.19338
Tonantins,-2.873,-67.802
Parintins,-2.62976,-56.74495
Coari,-4.1307,-63.13461
Manaus,-3.04769,-59.94361
Sao Paulo de Olivenca,-3.45979,-68.92616
Barreirinha,-2.76879,-56.82101
Careiro,-3.82127,-60.36684
Manacapuru,-3.29827,-60.62058
Tefe,-3.43633,-64.70522
Manaus,-3.08745,-60.02689
Manacapuru,-3.29293,-60.61957
Guajara,-7.24841,-72.33638
Alvaraes,-3.21765,-64.81676
Envira,-7.43981,-70.03041
Coari,-4.09446,-63.14235
Anori,-3.74832,-61.6596
Urucurituba,-2.97494,-58.00435
Itacoatiara,-3.14037,-58.44017
Anori,-3.74807,-61.65952
Coari,-4.0942,-63.14242
Manaus,-3.06082,-59.95288
Manaquiri,-3.42877,-60.45965
Manacapuru,-3.29827,-60.62058
Manaus,-3.07502,-59.93179
Manaus,-3.14423,-60.01227
Manaus,-3.1283,-59.99174
Caapiranga,-3.3152,-61.20822
Autazes,-3.67839,-59.0953
Manaus,-3.05409,-60.04642
Autazes,-3.57748,-59.13429
Borba,-4.38761,-59.5912
Iranduba,-3.1824,-60.34219
Autazes,-3.60155,-59.51744
Iranduba,-3.20112,-60.17815
Uarini,-2.99344,-65.10875
Manaus,-3.07354,-60.03414
Manaus,-3.12017,-59.99341
Manaquiri,-3.46098,-60.45338
Sao Paulo de Olivenca,-3.46043,-68.94165
Manaus,-3.07491,-60.06418
Tabatinga,-4.22825,-69.93096
Eirunepe,-6.66027,-69.86789
Manaus,-3.12467,-59.94052
Sao Gabriel da Cachoeira,-0.12127,-67.09387
Labrea,-7.2616,-64.79227
Manaus,-3.08126,-59.94565
Manaus,-3.10315,-59.96447
Humaita,-7.51222,-63.02669
Tonantins,-2.86112,-67.77298
Humaita,-7.51222,-63.02669
Careiro,-3.452,-60.00614
Labrea,-7.26568,-64.79468
Manaus,-3.14566,-60.00629
Manaus,-3.11998,-60.03665
Eirunepe,-6.66735,-69.86629
Presidente Figueiredo,-1.54888,-60.17486
Iranduba,-3.0843,-60.23642
Manaus,-3.05182,-59.67842
Borba,-4.39061,-59.59455
Itacoatiara,-3.14037,-58.44017
Careiro,-3.52716,-60.23112
Maraa,-1.85777,-65.59093
Itacoatiara,-3.17136,-58.43027
Manaus,-3.09768,-60.05663
Novo Aripuana,-5.12174,-60.37463
Nova Olinda do Norte,-3.88759,-59.09307
Autazes,-3.5798,-59.12416
Nova Olinda do Norte,-3.89246,-59.09313
Eirunepe,-6.66697,-69.86514
Manaus,-3.10789,-60.04487
Amatura,-3.3668,-68.20961
Guajara,-7.54462,-72.57967
Manacapuru,-3.28039,-60.65193
Labrea,-7.25357,-64.78556
Presidente Figueiredo,-1.82735,-60.19166
Manaus,-3.06918,-59.95252
Presidente Figueiredo,-1.47719,-60.2726
Tapaua,-5.62842,-63.18936
Manaus,-3.13544,-60.00007
Tefe,-3.34937,-64.707
Maues,-3.8176,-58.28744
Tapaua,-5.6281,-63.18928
Parintins,-2.63294,-56.72887
Parintins,-2.64563,-56.73985
Manaus,-3.13047,-59.99524
Silves,-2.89795,-58.40497
Apui,-7.19791,-59.89344
Coari,-4.09534,-63.14643
Manicore,-7.92629,-61.56901
Apui,-7.19363,-59.87724
Boca do Acre,-8.69316,-67.95236
Coari,-4.0942,-63.14242
Tefe,-3.53333,-64.41093
Maues,-3.39326,-57.70722
Boca do Acre,-8.69316,-67.95236
Humaita,-7.51974,-63.02401
Boca do Acre,-8.74583,-67.39605
Alvaraes,-3.30064,-64.78015
Japura,-1.82112,-66.60849
Novo Airao,-2.62522,-60.94062
Japura,-1.80317,-66.57508
Pauini,-7.70956,-67.00035
Careiro,-3.38166,-59.72219
Maraa,-1.85781,-65.59099
Japura,-1.54033,-69.45707
Manaus,-3.14237,-60.01477
Manaus,-2.94782,-60.03202
Itapiranga,-2.74184,-58.03454
Atalaia do Norte,-4.36563,-70.19317
Manaus,-3.08776,-59.56918
Manaus,-3.1319,-59.4326
Manaus,-2.93003,-60.46675
Manaus,-3.02045,-59.97116
Manaus,-2.81657,-60.4861
Manaus,-3.01177,-59.97966
Manaus,-3.13469,-60.02333
Manaus,-3.06309,-59.87656
Nhamunda,-2.37983,-56.98908
Presidente Figueiredo,-2.03359,-59.60258
Manaus,-2.61708,-60.03781
Manaus,-2.85928,-59.94108
Manaus,-3.01395,-60.40023
Manaus,-3.02003,-59.9561
Barcelos,-0.96975,-62.9314
Urucurituba,-3.13099,-58.15509
Manaus,-2.90864,-60.10369
Manaus,-3.02024,-60.16527
Nhamunda,-2.2951,-56.80438
Manaus,-3.1,-60.06886
Manaus,-2.51929,-60.78085
Manaus,-3.05927,-59.84488
Manaus,-3.07788,-59.94689
Manaus,-3.11521,-60.02991
